dataset,profile,android_brightness,patch,R,G,B,X,Y,Z
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,yellow-255,255,255,0,1.366323,1.664323,0.263632
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,red-mix,192,64,64,0.423782,0.268082,0.115305
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,green-mix,64,192,64,0.401511,0.712783,0.201485
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,blue-mix,64,64,192,0.243948,0.155773,0.919028
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,skin-light,194,150,130,0.656972,0.628622,0.466627
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,skin-dark,115,82,68,0.189423,0.174754,0.120179
native-gamma22-brightness-20260913/slider-000-raw-001,gamma22,1,white-end,255,255,255,1.690381,1.789772,1.935764
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,white-start,255,255,255,4.515784,4.775709,5.165074
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-4,4,4,4,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-8,8,8,8,0.007155,0.009913,0.005839
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-12,12,12,12,0.010517,0.01351,0.006233
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-16,16,16,16,0.015002,0.016708,0.006842
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-24,24,24,24,0.02547,0.027366,0.025365
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-32,32,32,32,0.048796,0.050466,0.055468
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-48,48,48,48,0.114644,0.119898,0.133962
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-64,64,64,64,0.214846,0.228887,0.252361
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-96,96,96,96,0.521656,0.5519,0.602126
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-128,128,128,128,0.987323,1.047752,1.148812
